oracion;w
cómo;como
cómo es;como
cómo tengo que hacer para;como
cómo se hace para;como
cómo tengo que;como
cómo tenemos que ;como
cómo hay que;como
qué tengo que hacer ;como
qué tenemos que hacer;como
cuándo;cuando
cuándo empieza;cuando
cuándo termina;cuando
en qué fecha;cuando
cuándo empieza el semestre;cuando
cuando empiezan las clases;cuando
cuál es el plazo para ;cuando
cuándo empieza el plazo para;cuando
cuándo termina el plazo para;cuando
cuál es el pedíodo de;cuando
cuál es la duración de;cuando
hasta cuándo tengo tiempo;cuando
hasta cuándo hay tiempo para;cuando
hasta cuándo tenemos tiempo para;cuando
hasta cuándo;cuando
cuánto tiempo;cuando
cuánto dura;cuando
cuánto tarda;cuando
cuántos días;cuando
cuánto tiempo;cuando
cuántos meses;cuando
a dónde tengo que ira para;donde
cuál es la dirección;donde
dónde;donde
cuál es la ubicación;donde
en qué piso;donde
en qué oficina;donde
en qué sede;donde
en qué lugar;donde
en qué laboratorio;donde
a dónde está;donde
dónde se encuentra;donde
dónde queda;donde
dónde está;donde
en dónde;donde
con quién;quien
con quién tengo que hablar para;quien
qué persona;quien
quién;quien
quién está a cargo;quien
a quién tengo que ver para;quien
quién es el responsable;quien
quién puede;quien
qué hay que hacer;que
qué es ;que
qué otros;que
qué formas medios ;que
que es;que
que hay;que
Cuánto cuesta;cuanto
cuánto sale;cuanto
cuánto dinero;cuanto
cuánto vale;cuanto
cuánto cuesta;cuanto
cuánto sale;cuanto
cuánto cuesta;cuanto
cuánto dinero;cuanto
cuánto vale;cuanto
cuáles son las formas de;que
cuáles son los medios de ;que
cuáles son las maneras de ;que
Quién es el encargado de cobros;quien
cuántas materias tiene la carrera;cuanto
